	entry	grammar	definition	xr
60	akaraṇa	neuter	the not doing, not making; abstention	karaṇa
61	akaramha	1 plural		karoti
62	akaraṇīya	negative adjective & neuter	not to be done or made; not to be dealt with; what is not to be done	karaṇīya
63	akaraṇīya	negative adjective & neuter	(adjective) with nothing to do	karaṇīya
64	akarāma	1 plural		karoti
65	akaritvā	negative absolutive		karitvā
66	akarimha	1 plural		karoti
67	akarī	2 sg; a+karoti		karoti
68	akaruṁ	3 plural		karoti
69	akaronta	negative adjective; a+karoti		karonta
70	akalaha	masculine	absence of quarreling; harmony	kalaha
71	akalla	adjective	unhealthy; unfit; low in spirits; not sound	['akalya', 'kalla']
72	akalyaka	adjective	ill; not fit	
73	akallarūpa	adjective	in very poor spirits; unwell	kallarūpa
74	akalya	adjective	unhealthy; unfit; low in spirits; not sound	['akalla', 'kalya']
75	akavāṭa	adjective	without a door	kavāṭa
76	akavāṭābaddha	negative adjective		kavāṭabaddha
77	akavātaka	adjective	without a door	
78	akasāva	adjective	without defect	kasāva
79	akasiralābhin	adjective	obtaining with ease; abundantly obtaining	kasira
80	akāca	adjective	without impurity, without flaw; pure, clear; smooth	a+kāca
81	akāpurisasevita	adjective	practiced or cultivated by superior men; not practiced or cultivated by worthless men	kāpurisa
82	akāma	adjective	not so wishing; unwilling, reluctant	kāma
83	akāma	adjective	without sensual desire	kāma
84	akāmaka	adjective (f. -ikā)	unwilling; not wishing (to)	a+kāma+ka
85	akāmakāmin	adjective & masculine		kāmakāmi(n)
86	akāmakāmi	adjective & masculine		kāmakāmi(n)
87	akāmā	ablative adverb	against one’s will; whether one wishes it or not; without (previous) intention	akāma
88	akāyabandhana	m(fn)n	not wearing a belt	kāyabandhana
89	akāraka	adjective (f. -ikā)	who is not an agent; who is not the perpetrator; innocent	kāraka
90	akāraka	adjective (f. -ikā)	who performs no service; of no use	kāraka
91	akāraṇa	neuter	absence of a cause or (a valid) reason; not a cause; not the case	kāraṇa
92	akārayiṁ	1 singular		kārayati
93	akārayi	1 singular		kārayati
94	akāriya	negative adjective	not to be done	kata
95	akāresi	aorist 3 singular		kāreti
96	akāla	masculine	not the right time, not a suitable time (sometimes: nighttime)	kāla
97	akālacārin	adjective	traveling or going for alms at the wrong time, an an unsuitable time	kālacāri(n)
98	akālacāri	adjective	traveling or going for alms at the wrong time, an an unsuitable time	kālacāri(n)
99	akālacīvara	neuter	robe material given at a time other than the appointed period, or given during the appointed period to a specific bhikkhu or group of bhikkhus	kālacīvara
100	akālaññu	negative adjective; a+kāla		kālaññu
101	akālapuppha	neuter	a flower appearing out of season; an unseasonable flower	akāla
102	akālamegha	masculine	an unseasonable rain cloud; unseasonable rainy weather	akāla
103	akālavādin	masculine	speaking at the wrong time, at an unsuitable time	kālavādi(n)
104	akālavādi	masculine	speaking at the wrong time, at an unsuitable time	kālavādi(n)
105	akālika	adjective	not dependent on time; not limited to a particular time; immediate, immediately effective	kālika
106	akāle	locative	not at the right time, at an unsuitable time (sometimes: at night); out of season	kāle
107	akālena	instr	at the wrong time, at an unsuitable time	kālena
108	akāsi	2 sg		karoti
109	akāsiṁ	1 singular		karoti
110	akāsika	adjective	not from Kāsi; inferior	kāsika
111	akicca	negative adjective (neuter)	(what is) not to be done	kicca
112	akiccakārin	adjective	doing what ought not to be done; acting wrongly	kiccakāri(n)
113	akiccakāri	adjective	doing what ought not to be done; acting wrongly	kiccakāri(n)
114	akiccha	neuter	lack of difficulty; ease	kiccha
115	akicchalābhin	adjective	obtaining easily	kiccha
116	akicchalābhi	adjective	obtaining easily	kiccha
117	akicchena	instrumental adverb	with ease, without trouble	kicchena
118	akiñcana	adjective	who or which has nothing; without possessions, poor; without responsibilities; (according to commentaries) without impediments, without defilements	kiñcana
119	akittayi	aorist 3 singular		kittayati
120	akitti	feminine	ill fame; reproach	kitti
121	akittisañjanana	adjective (f. -ī)	producing ill fame	['akittisañjananī', 'kitti']
122	akittisañjananī	feminine	producing ill fame	['akittisañjanana', 'kitti']
123	akiriyā	feminine	(feminine) non-activity; non-performance; abstention (from); failure to act	kiriyā
124	akiriyā	feminine	(feminine) the absence of independent activity; the absence of morally significant or morally effective activity	kiriyā
125	akiriyavāda	adjective	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavāda
126	akiriyavādin	adjective id	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavādi(n)
127	akiriyavādi	adjective id	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavādi(n)
128	akilanta	negative adjective		kilanta
129	akilāsu	adjective	untiring, unwearied; making every effort	kilāsu
130	akissava	adjective (?)	(according to commentaries) without wisdom	a+kissava
131	akukkukajāta	adjective (?)	without shoots?	a+kukkuka+jāta
132	akukkucca	adjective	free from anxiety; free from feelings of guilt	kukkucca
133	akukkuccaka	adjective	not causing anxiety (?)	kukkuccaka
134	akukkuccakajāta	adjective	not causing anxiety	akukkuccaka
135	akujjana	adjective & neuter	not creaking, not making a noise	akūjana
136	akutobhaya	adjective	having nothing to fear from anywhere, from any quarter. secure; where there is nothing to fear from any quarter	a+kuto+bhaya
137	akuppa	negative adjective & neuter	(adjective) not able to be disturbed; stable; immovable; not open to challenge or valid objection	kuppa
138	akuppa	negative adjective & neuter	(neuter) what is not able to be disturbed; (a state of) stability	kuppa
139	akuppa	negative adjective & neuter	lack of agitation; (the state of) not being provoked or angered, forbearance	kuppa
140	akuppadhamma	adjective	not not vulnerable to disturbance; whose essential nature is stability or changeability	akuppa
141	akuppamāna	negative adjective; a+kuppa	is not steadfast; is not unshakable	kuppati
142	akubbat	negative adjective		kubbati
143	akubba	negative adjective		kubbati
144	akubbamāna	negative adjective		kubbati
145	akula	neuter	a non-family, a family that is destroyed or disgraced	kula
146	akulaputta	masculine	not of good family	kulaputta
147	akusala	adjective & neuter	(adjective) not good, not right; evil, harmful, not conducing to well-being; evil, acting wrongly	kusala
148	akusala	adjective & neuter	(nominative (and masculine?)) what is bad or evil; wrong or unsuitable action or behavior; what leads to suffering or is harmful	kusala
149	akusala	adjective & neuter	(adjective) not good at, incompetent; not skilled, not expert; not knowledgeable about or conversant with	kusala
150	akusalapakkhika	adjective	belonging to the group of bad qualities	kusalapakkhika
151	akusalabhāgiya	adjective	associated to what is wrong, with evil or harm	kusalabhāgiya
152	akusalā dhammā	masculine	wrong practices or actions; evil conduct; harmful factors	kusalā dhammā
153	akusīta	adjective	not slothful; conscientious	kusīta
154	akuha	adjective	free from deceit; not fraudulent; genuine	kuha
155	akuhaka	adjective	not deceitful, not fraudulent; genuine	kuhaka
156	akūjana	adjective & neuter	not creaking, not making a noise	akujjana
157	akūta	adjective	not deceitful, not false; not wild, not vicious	kūṭa
158	akeṭubhin	adjective	not fraudulent, honest	keṭubhi(n)
159	akeṭubhi	adjective	not fraudulent, honest	keṭubhi(n)
160	akevala	adjective	not pure; not whole, not entire	kevala
161	akevalin	adjective	not accomplished; imperfect	kevali(n)
162	akevali	adjective	not accomplished; imperfect	kevali(n)
163	akotūhalamaṅgalika	negative adjective		kotūhalamaṅgalika
164	akopa	adjective	without agitation or anger	kopa
165	akopiyamāna	negative adjective		kopiyamāna
166	akovida	adjective; a+kovida	not experienced; not knowledgeable about	kovida
167	akka	masculine	the name of a plant, Calotropis gigantea; swallow wort plant?	
168	akkanāla	adjective	the stalk of the akka plant	
169	akkanta	past participle adjective	(passive) stepped on; trodden upon; pressed upon	akkamati
170	akkanta	past participle adjective	(act.) who has stepped on, trodden upon; who has stepped on to a shoe or sandal	akkamati
171	akkamati	present 3 singular	steps on or treads upon; presses upon	
172	akkamiṁsu	3 plural		akkamati
173	akkamitabba	future passive participle adjective	will tread on	akkamati
174	akkamitvā	absolutive		akkamati
175	akukkukata	adjective	(what is) not temporary; give an unlimited time	kukkukata
176	akkuṭṭha	past participle adjective & neuter	reviled; scolded, railed at	akkosa
177	akkuṭṭhavandita	neuter	reviling and respect	
178	akkuṭṭhasanta	adjective	being reviled; or calm when reviled	
179	akkudhasanta	adjective	unprovoked and calm, mild and un-angered	kuddha
180	akkulo	indeclinable	an exclamation (designed to terrify)	
181	akkocchi	aorist 3 singular		['akkosati', 'akkosa']
182	akkodha	masculine & adjective	(masculine) freedom from anger; forbearance	kodha
183	akkodha	masculine & adjective	(adjective) free from anger; forbearing	kodha
184	akkodhana	adjective	free from anger; not easily angered. forbearing	kodhana
185	akkosa	masculine	shouting at; abuse; reviling	akkosati
186	akkosaka	adjective (f. -ikā)& masculine	(one) who abuses, scolds, reviles	akkosati+ka
187	akkosakaparibhāsika	masculine feminine	(one) who abuses and insults	
188	akkoseti	present 3 singular	scolds, abuses, curses, reviles	akkosati
189	akkosanta	present participle adjective (f. ~antī)		akkosati
190	akkosavatthu	neuter	basis, ground for abuse	akkosa
191	akkositabba	future passive participle adjective		akkosita
192	akkosiyamāna	passive present participle adjective		akkosa
193	akkha	masculine, neuter	a die; dice	
194	akkha	masculine, neuter	an axle, an axle-tree	
195	akkha	masculine, neuter	the collarbone	
196	akkhaṇa	masculine; a+khaṇa	the wrong time, the wrong moment; especially an inopportune moment to be born as a man, birth in unfavorable circumstances (when one cannot take advantage of a Buddha being in the world)	khaṇa
197	akkhaṇavedhin	adjective	(probably) piercing the target	
198	akkhaṇavedhi	adjective	(probably) piercing the target	
199	akkhaṇḍa	adjective	with no gaps, whole, entire, complete	['akhaṇḍa', 'khaṇḍa']
200	akkhaṇdakārin	adjective	making whole; complete	khaṇḍakāri(n)
201	akkhaṇdakāri	adjective	making whole; complete	khaṇḍakāri(n)
202	akkhata	negative adjective; a+khata	unhurt, uninjured; unimpaired, whole, perfect	khata
203	akkhadassa	masculine	a judge; a magistrate	akkha+dassa
204	akkhadhutta	masculine; akkha+dhutta	a gamble; one addicted to dicing	akkha
205	akkhantī	feminine	impatience, intolerance; irascibility; unwillingness to forgive	khantī
206	akkhama	adjective	impatient; not able to put up with; not amenable	khama
207	akkhambiya	future passive participle negative adjective	not to be made stiff; not be obstructed or hindered	khambheti
208	akkhayita	negative adjective; a+khaya		khayita
209	akkhara	masculine feminine & neuter	(m.f.n.) a sound; a syllable	
210	akkhara	masculine feminine & neuter	(neuter) an expression, a word	
211	akkharappabheda	masculine (& neuter?)	phonology and etymology	akkhara
212	akkharikā	feminine	(from akkhara) a letter-game	akkhara+ikā
213	akkhātar	masculine	one who tells; one who names; a preacher, a teacher	akkhāti+tar
214	akkhāta	masculine	one who tells; one who names; a preacher, a teacher	akkhāti+tar
215	akkhātā	past participle adjective	told, declared, taught; called, named	akkhāti
216	akkhāti	present 3 singular	announces; tells; declares; tells about; teaches	
217	akkhāna	neuter	telling, announcing, teaching; a tale, a recitation, a legend	akkhāti
218	akkhāya	absolutive		akkhāti
219	akkhāyati	present 3 singular	announces; tells; declares; tells about; teaches	akkhāti
220	akkhāyati	present 3 singular	(passive) is declared; is called, is stated to be; is named; especially aggam ~ayati, is called the most excellent	akkhāti
221	akkhāyita	negative adjective	not eaten	khāyita
222	akkhāsi	present participle adjective		akkhāti
223	akkhāhata	adjective	fixed on an axle	akkha
224	akkhi	neuter	the eye	
225	akkhikahāraka	masculine; akkhi+ka+hāraka	one who removes eyes	
226	akkhikahāraka	masculine; akkhi+ka+hāraka	(masculine) one who collects seeds	
227	akkhikūpa	masculine; akkhi+kūpa	the eye-socket	akkhi
228	akkhigūthaka	masculine; akkhi+gūtha+ka	an excretion from the eye	akkhi
229	akkhitārakā	feminine; akkhi+tāra+kā	pupil of the eye; the eye	akkhi
230	akkhitta	negative adjective	not reviled; not criticized	khitta
231	akkhittacitta	negative adjective; a+khipati		khittacitta
232	akkhissaṁ	1 singular		akkhāti
233	akkhīṇāsava	negative adjective	in whom the āsavas have not perished, who is not an arhat	khīṇāsava
234	akhīṇāsava	negative adjective	in whom the āsavas have not perished, who is not an arhat	khīṇāsava
235	akkhudda	adjective	not small or mean; considerable, important	khudda
236	akkhuddāvakāsa	adjective	being a considerable occasion (for …) (?)); of no mean appearance (?)	akkhudda
237	akkheyya	future passive participle adjective & neuter	to be named; to be told, to be expressed; what can be expressed or described, a nameable object	akkhāti
238	akkodhupāyāsin	negative adjective		kodhupāyāsi(n)
239	akkodhupāyāsi	negative adjective		kodhupāyāsi(n)
240	akriyā	feminine	(feminine) non-activity; non-performance; abstention (from); failure to act	kriyā
241	akriyā	feminine	(feminine) the absence of independent activity; the absence of morally significant or morally effective activity	kriyā
242	akhaṇḍa	adjective	with no gaps, whole, entire, complete	['akkhaṇḍa', 'khaṇḍa']
243	akhalita	negative adjective	free from stumbling, from error	khalita
244	akhādana	neuter	not eating; not chewing	khādana
245	akhārika	adjective	not pungent	khārika
246	akhila	adjective	free from barrenness; free from rigidity or hostility	khila
247	akhilajāta	negative adjective		khilajāta
248	akhettaññu	negative adjective	not knowledgeable (about, genitive); not familiar with; inexperienced; unskillful; (according to commentary also: knowing who is not a suitable recipient)	khettaññu
249	agadaṅgāra	masculine, neuter	a medicinal ash or powder	
250	agandhaka	adjective (f. -ikā)	with no scent	
251	agaru	adjective	not burdensome; not difficult	garu
252	agāmaka	adjective	where there are no villages; without habitation, uninhabited	a+gāma+ka
253	agāra	neuter (& masculine)	house; a dwelling place	agārā
254	āgāraka	neuter	a small house; a cottage; a hut	agāra+ka
255	agāravasa	masculine	household life	agāra
256	agārā	neuter (& masculine)	house; a dwelling place	agāra
257	āgārika	adjective & masculine feminine; agāra+ika	belonging to a house; living in a house; a householder; a housewife; a lay person	agāriya
258	agāriya	adjective & masculine feminine; agāra+iya	belonging to a house; living in a house; a householder; a housewife; a lay person	agārika
259	agārikabhūta	adjective; agāra+ika+bhūta	(while) being a householder, leading a householder’s life	agārika
260	agariyabhūta	adjective; agāra+ika+bhūta	(while) being a householder, leading a householder’s life	agāriya
261	agiha	adjective	homeless, without a house	
262	agga	adjective & neuter	(adjective) the first, foremost; topmost; better; excellent, illustrious; the best, chief (very often iic); (neuter) the best part; the ideal; a most excellent thing; the best of its class or type	
263	agga	adjective & neuter	(neuter masculine) the top, point; tip	
264	aggakārikā	feminine	(first or best action); a first taste; a sample	agga
265	aggakulika	adjective (masculine/feminine)	(one) belonging to the an esteemed or chief family	agga
266	agga-m-agga	adjective	the very best; the most excellent	
267	aggaṅkuraka	neuter	the top shoot	agga
268	aggañña	adjective & neuter	(adjective) chief, principal; primitive, original	agga
269	aggañña	adjective & neuter	(neuter) the beginning of things; origin	agga
270	agaṇhanta	adjective		gaṇhāti
271	aggatā	feminine abstract noun	preeminence; chief position	agga+tā
272	aggato	ablative	before; in front; in the presence of	agga
273	aggadana	neuter	a gift of the best; the best gift	agga
274	aggadvāra	masculine	the top of the door or gate; (or the first gate opened; a way to leave the town secretly)	
275	aggadhamma	masculine	the best doctrine; the best state or condition	agga
276	agganakha	masculine	the tip of the nail	agga
277	agganagara	neuter	a chief city; the chief city	
278	aggapaññati	feminine	designation as best (of its class)	agga
279	aggapada	neuter	the best word, the best teaching; the best state or place	agga
280	aggapiṇḍa	masculine	the first or best food	agga
281	aggapuggala	masculine	the best of men	agga
282	aggapurisa	masculine	the best or the preeminent person	agga
283	aggappasāda	masculine	the best trust; trust in the best	
284	aggapasāda	masculine	the best trust; trust in the best	
285	aggabīja	neuter	a plant propagated by cuttings	agga
286	aggarasaparititta	adjective	completely satisfied with the best flavored foods	agga
287	aggala	masculine, neuter	a bolt or bar for fastening a door (or window); the door-panel or door	aggaḷa
288	aggala	masculine, neuter	a patch	aggaḷa
289	aggalaṭṭhapana	neuter	the placing or vising of a door-bolt or door-panel	aggala
290	aggalaphalaka	neuter	the panel of a door	aggala
291	aggalavaṭṭi	feminine	the post to which the bolt is fastened	aggala
292	aggalasūci	feminine	a bolt-pin, a bolt	aggala
293	aggaḷa	masculine, neuter	a bolt or bar for fastening a door (or window); the door-panel or door	aggala
294	aggaḷa	masculine, neuter	a patch	aggala
295	aggavat	adjective	of great eminence, excellent	agga
296	aggava	adjective	of great eminence, excellent	agga
297	aggavādin	m(fn); agga+vadati	(one) who proclaims the highest, the best	agga
298	aggavādi	m(fn); agga+vadati	(one) who proclaims the highest, the best	agga
299	aggasavaka	masculine	a chief disciple	agga
300	aggahīta	adjective	kept back	gaṇhāti
301	aggahetvā	indeclinable	seizing	
302	aggahesi	aorist 3 singular		gaṇhāti
303	aggahesiṁ	1 singular		gaṇhāti
304	aggahesum	3 plural		gaṇhāti
305	aggāsana	neuter	the first or chief seat	agga
306	aggi	masculine	fire; flames; conflagration	
307	aggi	masculine	cremation fire; a pyre (as or deal or suicide)	
308	aggi	masculine	the ritual fire, the sacrificial fire; (one of) the three fires of brahmanical ritual; the god Aggi Bhagavā	
309	aggi	masculine	(metaphorically) mental fire, fever	
310	aggikkhandha	masculine; aggi+khandha	a great mass of fire; a huge blazing fire, a bonfire	aggi
311	aggiṭṭhāna	neuter	a place for the fire; a fireplace, hearth	aggi
312	aggipajjota	masculine	light from a fire	aggi
313	aggipāricariyā	feminine	attendance on, or care of, the ritual fire	aggi
314	aggipāricārika	adjective	who tends the ritual fire	aggi
315	aggiparicitta	adjective	damaged by fire	aggi
316	aggiparijita	adjective		aggiparicitta
317	aggi-m-āsīna	adjective	sitting near a fire	aggi
318	aggisādhārana	adjective	subject to, vulnerable to, fire	aggi
319	aggisālā	feminine; aggi+sālā	a fire-room (where water is heated), a heated hall; a room for the ritual fire	aggi
320	aggisikhā	feminine	a flame; a crest of a fire	aggi+sikhā
321	aggihutta	neuter; aggi+hutta	the oblation to Agni, the rite of the fire oblation; the ritual fire	aggi
322	aggihuttamissa	neuter	various tools etc. for the fire-oblation	aggihutta
323	aggihuttamukha	neuter	for which the fire-oblation is the chief or foremost	aggihutta
324	aggihoma	neuter	oblation in the fire	aggi
325	aggika	m(fn); aggika+ka	(from aggi) one who tends the ritual fire	aggiya
326	aggiya	adjective (masculine)	(from aggi) one who tends the ritual fire	aggika
327	agginisama	adjective & neuter	filled (to the brim) with fire; being a mass of fire; a mass of fire	
328	aggupaṭṭhāka	masculine	the chief personal (male) attendant	agga
329	aggha	masculine, neuter	price; worth	
330	aggha	masculine, neuter	hospitality, respectful reception of a guest; an offering of water etc. to a guest	
331	agghati	present 3 singular	is worth, has the value of; deserves; frequently in phrase kalaṁ na agghati (soḷasiṁ), is not worth a (sixteenth) part (of)	
332	agghanaka	adjective (f. -ikā) agghana+ka	having the value of, worth	agghanikā
333	agghanikā	adjective (f. -ikā)	having the value of, worth	agghanaka
334	agghāpenta	present participle adjective	valuing; putting a price on	agghati
335	agghāpesi	aorist 3 singular	valued; put a price on	agghati
336	agyantarāya	masculine	danger from fire	aggi+antarāya
337	agyāgāra	masculine	a hut for the (ritual) fire(s)	aggi+agāra
338	agha	neuter (& masculine) & adjective	(nominative m) wicked; pain, distress	
339	agha	neuter (& masculine) & adjective	(?) the air, the sky; space; (void, unrestricted?)	
340	aghagata	neuter	wicked; distress	aggha
341	aghagata	neuter	sky; space	aggha
342	aghagāmin	adjective	moving through the sky, through the space	aggha
343	aghagāmi	adjective	moving through the sky, through the space	aggha
344	aghāvin	adjective	being in misery; suffering pain	
345	aghāvi	adjective	being in misery; suffering pain	
346	aṅka	masculine	the lap	
347	aṅka	masculine	the hollow above the hips where infants are carried	
348	aṅkusa	masculine	a hook for controlling and driving an elephant, a goad	
349	aṅkusagayha	neuter	(from aṅkusaggaha) the art of elephant driving	aṅkusa
350	aṅkusaggaha	masculine	“one who holds the hook”, an elephant driver	aṅkusa
351	aṅga	neuter (& masculine)	a part of the body; a limb, member; an integral part of anything; a constituent part of a whole, a subordinate division; a limb or aspect of something as a characteristic sign, an attribute, a quality; as a determining characteristic or factor, a cause; iminā p’ aṅgena, with that characteristic; in that way; for that reason	
352	aṅgajāta	neuter	the male or female genitals	aṅga+jāta
353	aṅgaṇa	neuter	a place to walk in; open space, a court; a clearing	
354	aṅgaṇa	neuter	a speck of dirt; a blemish; a moral blemish, defilements	
355	aṅga-m-aṅgāni	neuter plural	limb by limb; all the limbs	aṅga
356	aṅgapaccaṅga	neuter & adjective; aṅga+pati+aṅga	one limb or another; one limb after another; all the limbs or parts	aṅga
357	aṅgarāga	masculine	unguents or cosmetics for the body	aṅga
358	aṅgavata	masculine	rheumatism	aṅga
359	aṅgavijjā	feminine	the art of prognosticating from parts of, or marks on, the body	aṅga
360	aṅgāra	masculine, neuter	charcoal; heated charcoal; embers	
361	aṅgārakaṭāha	neuter	a pot or pan for burning charcoal; a fire-pan; a brazier	aṅgāra
362	aṅgārakāsu	feminine; aṅgāra+kāsu	a charcoal pit (with burning coal)	aṅgāra
363	aṅgārin	adjective	covered in crimson	
364	aṅgāri	adjective	covered in crimson	
365	aṅgin	adjective	having limbs or parts; having a body; who has limbs	
366	aṅgi	adjective	having limbs or parts; having a body; who has limbs	
367	aṅguṭṭha	masculine	the thumb; the big toe	
368	aṅguṭṭhapada	neuter	a thumb-mark	anguṭṭha
369	aṅgula	masculine, neuter	a finger	
370	aṅgulī	feminine	a finger (often in plural including the thumb); (occasionally) a toe	
371	aṅgulīchinna	adjective	whose finger has been cut off	aṅgulī
372	aṅgulīpatodaka	masculine	poking with the finger; tickling	aṅgulī
373	aṅgulīpada	neuter	a finger-mark	aṅgulī
374	aṅgulimuddikā	feminine; aṅguli+mudda+ikā	a signet ring	aṅgulī
375	acakkhuka	adjective	without sight; blind; without insight, without understanding	a+cakkhu+ka
376	acittaka	adjective	without intention, without awareness	a+citta+ka
377	acīvaraka	m(fn.)	(one) who has no bhikkhu’s robes	a+cīvara+ka
378	acc-	prefix	is the usual form of the prefix ati- before vowels other than ī. In words of more than three syllables the vowel following acc- is often strengthened	
379	accagamā	aorist 3 singular	overcame	ati+gacchati
380	accaguṁ	aorist 3 singular	surpassed, overcame	ati+gacchati
381	accaṅkusa	adjective	beyond the control of the goad	ati+aṅkusa
382	accatari	aorist 3 singular		atitarati
383	accatāri	aorist 3 singular		atitarati
384	accanta	adjective	beyond the (usual) end or limit; excessive, very great; perpetual; absolute, complete; most commonly accantaṁ, adverb, excessively, exceedingly; perpetually. absolutely, completely	ati+anta
385	accantadussīlya	neuter	extremely bad conduct	accanta
386	accantaniṭṭha	adjective	of absolute, constant perfection or firmness	accanta
387	accantapariyosāna	adjective	having an absolute, constant ideal	accanta
388	accantabrahmacārin	adjective	living the holy or celibate life absolutely, constantly	accanta
389	accantabrahmacāri	adjective	living the holy or celibate life absolutely, constantly	accanta
390	accantayogakkhemin	adjective	having absolute, constant peace from exertion	accanta
391	accantayogakkhemi	adjective	having absolute, constant peace from exertion	accanta
392	accantaruci	adjective	having superior splendor, surpassing in splendor	accanta
393	accaya	m; ati+eti	after the lapse (of) at the end (of), after	
394	accaya	m; ati+eti	after the death (of)	
395	accaya	m; ati+eti	going beyond (the norm); transgression; offense	
396	accarucī	aorist 3 singular		atirocati
397	accasarā	2 sg	give offense	ati+sarati
398	accasarī	aorist 3 singular	gave offense	
399	accādhāya	absolutive	putting on top of; on top of	ati+ādhāya
400	accāyata	adjective	very much stretc.hed or extended; over-strung (opposite to atisithila); high, sharp	ati+āyati
401	accāyika	adjective; ati+eti+ika	urgent; pressing	acceka
402	accāraddha	adjective	undertaken or practiced excessively	
403	accāraddhaviriya	neuter & adjective	(neuter) to great exertion	accāraddha
404	accāraddhaviriya	neuter & adjective	(adjective) exerting oneself too much	accāraddha
405	accāvadati	present 3 singular	speaks or addresses in an excessive or improper way; (tries to) surpass in speaking	ati+vadati
406	accāvadanta	present participle adjective		accāvadati
407	accāvadittha	aorist 2 plural		accāvadati
408	accāvadimha	1 plural		accāvadati
409	accāsanna	adjective	very near; too near; very close	ati+āsanna
410	accāsanne	loc. adverb	very near; too close	accāsanna
411	acchibaddha	adjective	laid out in squares or laid out in strips	acci+baddha
412	accī	feminine	a ray of light; a flame	
413	accīmat	adjective	flaming, glowing; brilliant	
414	accīma	adjective	flaming, glowing; brilliant	
415	accukkaṭṭha	adjective	(a robe) pulled up too high	ati+ukkaṭṭha
416	accuggata	adjective	risen out (of); raised high; high, tall; lofty; haughty	ati+uggata
417	accuggamamma	indeclinable	rising out (of); being raised above	ati+uggacchati
