pali	grammar	meaning	from
akaraṇa	neuter	the not doing, not making; abstention	karaṇa
akaraṇīya	negative adjective & neuter	not to be done or made; not to be dealt with; what is not to be done	karaṇīya
akaraṇīya	negative adjective & neuter	(adjective) with nothing to do	karaṇīya
akalaha	masculine	absence of quarreling; harmony	kalaha
akalla	adjective	unhealthy; unfit; low in spirits; not sound	['akalya', 'kalla']
akalyaka	adjective	ill; not fit	
akallarūpa	adjective	in very poor spirits; unwell	kallarūpa
akalya	adjective	unhealthy; unfit; low in spirits; not sound	['akalla', 'kalya']
akavāṭa	adjective	without a door	kavāṭa
akavātaka	adjective	without a door	
akasāva	adjective	without defect	kasāva
akasiralābhī	adjective	obtaining with ease; abundantly obtaining	kasira
akāca	adjective	without impurity, without flaw; pure, clear; smooth	a+kāca
akāpurisasevita	adjective	practiced or cultivated by superior men; not practiced or cultivated by worthless men	kāpurisa
akāma	adjective	not so wishing; unwilling, reluctant	kāma
akāma	adjective	without sensual desire	kāma
akāmaka	adjective (f. -ikā)	unwilling; not wishing (to)	a+kāma+ka
akāmā	ablative adverb	against one’s will; whether one wishes it or not; without (previous) intention	akāma
akāyabandhana	m(fn)n	not wearing a belt	kāyabandhana
akāraka	adjective (f. -ikā)	who is not an agent; who is not the perpetrator; innocent	kāraka
akāraka	adjective (f. -ikā)	who performs no service; of no use	kāraka
akāraṇa	neuter	absence of a cause or (a valid) reason; not a cause; not the case	kāraṇa
akāriya	negative adjective	not to be done	kata
akāla	masculine	not the right time, not a suitable time (sometimes: nighttime)	kāla
akālacārī	adjective	traveling or going for alms at the wrong time, an an unsuitable time	kālacāri(n)
akālacāri	adjective	traveling or going for alms at the wrong time, an an unsuitable time	kālacāri(n)
akālacīvara	neuter	robe material given at a time other than the appointed period, or given during the appointed period to a specific bhikkhu or group of bhikkhus	kālacīvara
akālapuppha	neuter	a flower appearing out of season; an unseasonable flower	akāla
akālamegha	masculine	an unseasonable rain cloud; unseasonable rainy weather	akāla
akālavādī	masculine	speaking at the wrong time, at an unsuitable time	kālavādi(n)
akālavādi	masculine	speaking at the wrong time, at an unsuitable time	kālavādi(n)
akālika	adjective	not dependent on time; not limited to a particular time; immediate, immediately effective	kālika
akāle	locative	not at the right time, at an unsuitable time (sometimes: at night); out of season	kāle
akālena	instr	at the wrong time, at an unsuitable time	kālena
akāsika	adjective	not from Kāsi; inferior	kāsika
akicca	negative adjective (neuter)	(what is) not to be done	kicca
akiccakārī	adjective	doing what ought not to be done; acting wrongly	kiccakāri(n)
akiccakāri	adjective	doing what ought not to be done; acting wrongly	kiccakāri(n)
akiccha	neuter	lack of difficulty; ease	kiccha
akicchalābhī	adjective	obtaining easily	kiccha
akicchalābhi	adjective	obtaining easily	kiccha
akicchena	instrumental adverb	with ease, without trouble	kicchena
akiñcana	adjective	who or which has nothing; without possessions, poor; without responsibilities; (according to commentaries) without impediments, without defilements	kiñcana
akitti	feminine	ill fame; reproach	kitti
akittisañjanana	adjective (f. -ī)	producing ill fame	['akittisañjananī', 'kitti']
akittisañjananī	feminine	producing ill fame	['akittisañjanana', 'kitti']
akiriyā	feminine	(feminine) non-activity; non-performance; abstention (from); failure to act	kiriyā
akiriyā	feminine	(feminine) the absence of independent activity; the absence of morally significant or morally effective activity	kiriyā
akiriyavāda	adjective	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavāda
akiriyavādī	adjective id	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavādi(n)
akiriyavādi	adjective id	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavādi(n)
akilāsu	adjective	untiring, unwearied; making every effort	kilāsu
akissava	adjective (?)	(according to commentaries) without wisdom	a+kissava
akukkukajāta	adjective (?)	without shoots?	a+kukkuka+jāta
akukkucca	adjective	free from anxiety; free from feelings of guilt	kukkucca
akukkuccaka	adjective	not causing anxiety (?)	kukkuccaka
akukkuccakajāta	adjective	not causing anxiety	akukkuccaka
akujjana	adjective & neuter	not creaking, not making a noise	akūjana
akutobhaya	adjective	having nothing to fear from anywhere, from any quarter. secure; where there is nothing to fear from any quarter	a+kuto+bhaya
akuppa	negative adjective & neuter	(adjective) not able to be disturbed; stable; immovable; not open to challenge or valid objection	kuppa
akuppa	negative adjective & neuter	(neuter) what is not able to be disturbed; (a state of) stability	kuppa
akuppa	negative adjective & neuter	lack of agitation; (the state of) not being provoked or angered, forbearance	kuppa
akuppadhamma	adjective	not not vulnerable to disturbance; whose essential nature is stability or changeability	akuppa
akuppamāna	negative adjective; a+kuppa	is not steadfast; is not unshakable	kuppati
akula	neuter	a non-family, a family that is destroyed or disgraced	kula
akulaputta	masculine	not of good family	kulaputta
akusala	adjective & neuter	(adjective) not good, not right; evil, harmful, not conducing to well-being; evil, acting wrongly	kusala
akusala	adjective & neuter	(nominative (and masculine?)) what is bad or evil; wrong or unsuitable action or behavior; what leads to suffering or is harmful	kusala
akusala	adjective & neuter	(adjective) not good at, incompetent; not skilled, not expert; not knowledgeable about or conversant with	kusala
akusalapakkhika	adjective	belonging to the group of bad qualities	kusalapakkhika
akusalabhāgiya	adjective	associated to what is wrong, with evil or harm	kusalabhāgiya
akusalā dhammā	masculine	wrong practices or actions; evil conduct; harmful factors	kusalā dhammā
akusīta	adjective	not slothful; conscientious	kusīta
akuha	adjective	free from deceit; not fraudulent; genuine	kuha
akuhaka	adjective	not deceitful, not fraudulent; genuine	kuhaka
akūjana	adjective & neuter	not creaking, not making a noise	akujjana
akūta	adjective	not deceitful, not false; not wild, not vicious	kūṭa
akeṭubhī	adjective	not fraudulent, honest	keṭubhi(n)
akeṭubhi	adjective	not fraudulent, honest	keṭubhi(n)
akevala	adjective	not pure; not whole, not entire	kevala
akevalī	adjective	not accomplished; imperfect	kevali(n)
akevali	adjective	not accomplished; imperfect	kevali(n)
akopa	adjective	without agitation or anger	kopa
akovida	adjective; a+kovida	not experienced; not knowledgeable about	kovida
akka	masculine	the name of a plant, Calotropis gigantea; swallow wort plant?	
akkanāla	adjective	the stalk of the akka plant	
akkanta	past participle adjective	(passive) stepped on; trodden upon; pressed upon	akkamati
akkanta	past participle adjective	(act.) who has stepped on, trodden upon; who has stepped on to a shoe or sandal	akkamati
akkamati	present 3 singular	steps on or treads upon; presses upon	
akkamitabba	future passive participle adjective	will tread on	akkamati
akukkukata	adjective	(what is) not temporary; give an unlimited time	kukkukata
akkuṭṭha	past participle adjective & neuter	reviled; scolded, railed at	akkosa
akkuṭṭhavandita	neuter	reviling and respect	
akkuṭṭhasanta	adjective	being reviled; or calm when reviled	
akkudhasanta	adjective	unprovoked and calm, mild and un-angered	kuddha
akkulo	indeclinable	an exclamation (designed to terrify)	
akkodha	masculine & adjective	(masculine) freedom from anger; forbearance	kodha
akkodha	masculine & adjective	(adjective) free from anger; forbearing	kodha
akkodhana	adjective	free from anger; not easily angered. forbearing	kodhana
akkosa	masculine	shouting at; abuse; reviling	akkosati
akkosaka	adjective (f. -ikā)& masculine	(one) who abuses, scolds, reviles	akkosati+ka
akkosakaparibhāsika	masculine feminine	(one) who abuses and insults	
akkoseti	present 3 singular	scolds, abuses, curses, reviles	akkosati
akkosavatthu	neuter	basis, ground for abuse	akkosa
akkha	masculine, neuter	a die; dice	
akkha	masculine, neuter	an axle, an axle-tree	
akkha	masculine, neuter	the collarbone	
akkhaṇa	masculine; a+khaṇa	the wrong time, the wrong moment; especially an inopportune moment to be born as a man, birth in unfavorable circumstances (when one cannot take advantage of a Buddha being in the world)	khaṇa
akkhaṇavedhī	adjective	(probably) piercing the target	
akkhaṇavedhi	adjective	(probably) piercing the target	
akkhaṇḍa	adjective	with no gaps, whole, entire, complete	['akhaṇḍa', 'khaṇḍa']
akkhaṇdakārī	adjective	making whole; complete	khaṇḍakāri(n)
akkhaṇdakāri	adjective	making whole; complete	khaṇḍakāri(n)
akkhata	negative adjective; a+khata	unhurt, uninjured; unimpaired, whole, perfect	khata
akkhadassa	masculine	a judge; a magistrate	akkha+dassa
akkhadhutta	masculine; akkha+dhutta	a gamble; one addicted to dicing	akkha
akkhantī	feminine	impatience, intolerance; irascibility; unwillingness to forgive	khantī
akkhama	adjective	impatient; not able to put up with; not amenable	khama
akkhambiya	future passive participle negative adjective	not to be made stiff; not be obstructed or hindered	khambheti
akkhara	masculine feminine & neuter	(m.f.n.) a sound; a syllable	
akkhara	masculine feminine & neuter	(neuter) an expression, a word	
akkharappabheda	masculine (& neuter?)	phonology and etymology	akkhara
akkharikā	feminine	(from akkhara) a letter-game	akkhara+ikā
akkhātar	masculine	one who tells; one who names; a preacher, a teacher	akkhāti+tar
akkhāta	masculine	one who tells; one who names; a preacher, a teacher	akkhāti+tar
akkhātā	past participle adjective	told, declared, taught; called, named	akkhāti
akkhāti	present 3 singular	announces; tells; declares; tells about; teaches	
akkhāna	neuter	telling, announcing, teaching; a tale, a recitation, a legend	akkhāti
akkhāyati	present 3 singular	announces; tells; declares; tells about; teaches	akkhāti
akkhāyati	present 3 singular	(passive) is declared; is called, is stated to be; is named; especially aggam ~ayati, is called the most excellent	akkhāti
akkhāyita	negative adjective	not eaten	khāyita
akkhāhata	adjective	fixed on an axle	akkha
akkhi	neuter	the eye	
akkhikahāraka	masculine; akkhi+ka+hāraka	one who removes eyes	
akkhikahāraka	masculine; akkhi+ka+hāraka	(masculine) one who collects seeds	
akkhikūpa	masculine; akkhi+kūpa	the eye-socket	akkhi
akkhigūthaka	masculine; akkhi+gūtha+ka	an excretion from the eye	akkhi
akkhitārakā	feminine; akkhi+tāra+kā	pupil of the eye; the eye	akkhi
akkhitta	negative adjective	not reviled; not criticized	khitta
akkhīṇāsava	negative adjective	in whom the āsavas have not perished, who is not an arhat	khīṇāsava
akhīṇāsava	negative adjective	in whom the āsavas have not perished, who is not an arhat	khīṇāsava
akkhudda	adjective	not small or mean; considerable, important	khudda
akkhuddāvakāsa	adjective	being a considerable occasion (for …) (?)); of no mean appearance (?)	akkhudda
akkheyya	future passive participle adjective & neuter	to be named; to be told, to be expressed; what can be expressed or described, a nameable object	akkhāti
akriyā	feminine	(feminine) non-activity; non-performance; abstention (from); failure to act	kriyā
akriyā	feminine	(feminine) the absence of independent activity; the absence of morally significant or morally effective activity	kriyā
akhaṇḍa	adjective	with no gaps, whole, entire, complete	['akkhaṇḍa', 'khaṇḍa']
akhalita	negative adjective	free from stumbling, from error	khalita
akhādana	neuter	not eating; not chewing	khādana
akhārika	adjective	not pungent	khārika
akhila	adjective	free from barrenness; free from rigidity or hostility	khila
akhettaññu	negative adjective	not knowledgeable (about, genitive); not familiar with; inexperienced; unskillful; (according to commentary also: knowing who is not a suitable recipient)	khettaññu
agadaṅgāra	masculine, neuter	a medicinal ash or powder	
agandhaka	adjective (f. -ikā)	with no scent	
agaru	adjective	not burdensome; not difficult	garu
agāmaka	adjective	where there are no villages; without habitation, uninhabited	a+gāma+ka
agāra	neuter (& masculine)	house; a dwelling place	agārā
āgāraka	neuter	a small house; a cottage; a hut	agāra+ka
agāravasa	masculine	household life	agāra
agārā	neuter (& masculine)	house; a dwelling place	agāra
āgārika	adjective & masculine feminine; agāra+ika	belonging to a house; living in a house; a householder; a housewife; a lay person	agāriya
agāriya	adjective & masculine feminine; agāra+iya	belonging to a house; living in a house; a householder; a housewife; a lay person	agārika
agārikabhūta	adjective; agāra+ika+bhūta	(while) being a householder, leading a householder’s life	agārika
agariyabhūta	adjective; agāra+ika+bhūta	(while) being a householder, leading a householder’s life	agāriya
agiha	adjective	homeless, without a house	
agga	adjective & neuter	(adjective) the first, foremost; topmost; better; excellent, illustrious; the best, chief (very often iic); (neuter) the best part; the ideal; a most excellent thing; the best of its class or type	
agga	adjective & neuter	(neuter masculine) the top, point; tip	
aggakārikā	feminine	(first or best action); a first taste; a sample	agga
aggakulika	adjective (masculine/feminine)	(one) belonging to the an esteemed or chief family	agga
aggamagga	adjective	the very best; the most excellent	
aggaṅkuraka	neuter	the top shoot	agga
aggañña	adjective & neuter	(adjective) chief, principal; primitive, original	agga
aggañña	adjective & neuter	(neuter) the beginning of things; origin	agga
aggatā	feminine abstract noun	preeminence; chief position	agga+tā
aggato	ablative	before; in front; in the presence of	agga
aggadana	neuter	a gift of the best; the best gift	agga
aggadvāra	masculine	the top of the door or gate; (or the first gate opened; a way to leave the town secretly)	
aggadhamma	masculine	the best doctrine; the best state or condition	agga
agganakha	masculine	the tip of the nail	agga
agganagara	neuter	a chief city; the chief city	
aggapaññati	feminine	designation as best (of its class)	agga
aggapada	neuter	the best word, the best teaching; the best state or place	agga
aggapiṇḍa	masculine	the first or best food	agga
aggapuggala	masculine	the best of men	agga
aggapurisa	masculine	the best or the preeminent person	agga
aggappasāda	masculine	the best trust; trust in the best	
aggapasāda	masculine	the best trust; trust in the best	
aggabīja	neuter	a plant propagated by cuttings	agga
aggarasaparititta	adjective	completely satisfied with the best flavored foods	agga
aggala	masculine, neuter	a bolt or bar for fastening a door (or window); the door-panel or door	aggaḷa
aggala	masculine, neuter	a patch	aggaḷa
aggalaṭṭhapana	neuter	the placing or vising of a door-bolt or door-panel	aggala
aggalaphalaka	neuter	the panel of a door	aggala
aggalavaṭṭi	feminine	the post to which the bolt is fastened	aggala
aggalasūci	feminine	a bolt-pin, a bolt	aggala
aggaḷa	masculine, neuter	a bolt or bar for fastening a door (or window); the door-panel or door	aggala
aggaḷa	masculine, neuter	a patch	aggala
aggavat	adjective	of great eminence, excellent	agga
aggava	adjective	of great eminence, excellent	agga
aggavādī	m(fn); agga+vadati	(one) who proclaims the highest, the best	agga
aggavādi	m(fn); agga+vadati	(one) who proclaims the highest, the best	agga
aggasavaka	masculine	a chief disciple	agga
aggahīta	adjective	kept back	gaṇhāti
aggahetvā	indeclinable	seizing	
aggāsana	neuter	the first or chief seat	agga
aggi	masculine	fire; flames; conflagration	
aggi	masculine	cremation fire; a pyre (as or deal or suicide)	
aggi	masculine	the ritual fire, the sacrificial fire; (one of) the three fires of brahmanical ritual; the god Aggi Bhagavā	
aggi	masculine	(metaphorically) mental fire, fever	
aggikkhandha	masculine; aggi+khandha	a great mass of fire; a huge blazing fire, a bonfire	aggi
aggiṭṭhāna	neuter	a place for the fire; a fireplace, hearth	aggi
aggipajjota	masculine	light from a fire	aggi
aggipāricariyā	feminine	attendance on, or care of, the ritual fire	aggi
aggipāricārika	adjective	who tends the ritual fire	aggi
aggiparicitta	adjective	damaged by fire	aggi
aggimāsīna	adjective	sitting near a fire	aggi
aggisādhārana	adjective	subject to, vulnerable to, fire	aggi
aggisālā	feminine; aggi+sālā	a fire-room (where water is heated), a heated hall; a room for the ritual fire	aggi
aggisikhā	feminine	a flame; a crest of a fire	aggi+sikhā
aggihutta	neuter; aggi+hutta	the oblation to Agni, the rite of the fire oblation; the ritual fire	aggi
aggihuttamissa	neuter	various tools etc. for the fire-oblation	aggihutta
aggihuttamukha	neuter	for which the fire-oblation is the chief or foremost	aggihutta
aggihoma	neuter	oblation in the fire	aggi
aggika	m(fn); aggika+ka	(from aggi) one who tends the ritual fire	aggiya
aggiya	adjective (masculine)	(from aggi) one who tends the ritual fire	aggika
agginisama	adjective & neuter	filled (to the brim) with fire; being a mass of fire; a mass of fire	
aggupaṭṭhāka	masculine	the chief personal (male) attendant	agga
aggha	masculine, neuter	price; worth	
aggha	masculine, neuter	hospitality, respectful reception of a guest; an offering of water etc. to a guest	
agghati	present 3 singular	is worth, has the value of; deserves; frequently in phrase kalaṁ na agghati (soḷasiṁ), is not worth a (sixteenth) part (of)	
agghanaka	adjective (f. -ikā) agghana+ka	having the value of, worth	agghanikā
agghanikā	adjective (f. -ikā)	having the value of, worth	agghanaka
agghāpenta	present participle adjective	valuing; putting a price on	agghati
agghāpesi	aorist 3 singular	valued; put a price on	agghati
agyantarāya	masculine	danger from fire	aggi+antarāya
agyāgāra	masculine	a hut for the (ritual) fire(s)	aggi+agāra
agha	neuter (& masculine) & adjective	(nominative m) wicked; pain, distress	
agha	neuter (& masculine) & adjective	(?) the air, the sky; space; (void, unrestricted?)	
aghagata	neuter	wicked; distress	aggha
aghagata	neuter	sky; space	aggha
aghagāmī	adjective	moving through the sky, through the space	aggha
aghagāmi	adjective	moving through the sky, through the space	aggha
aghāvī	adjective	being in misery; suffering pain	
aghāvi	adjective	being in misery; suffering pain	
aṅka	masculine	the lap	
aṅka	masculine	the hollow above the hips where infants are carried	
aṅkusa	masculine	a hook for controlling and driving an elephant, a goad	
aṅkusagayha	neuter	(from aṅkusaggaha) the art of elephant driving	aṅkusa
aṅkusaggaha	masculine	“one who holds the hook”, an elephant driver	aṅkusa
aṅga	neuter (& masculine)	a part of the body; a limb, member; an integral part of anything; a constituent part of a whole, a subordinate division; a limb or aspect of something as a characteristic sign, an attribute, a quality; as a determining characteristic or factor, a cause; iminā p’ aṅgena, with that characteristic; in that way; for that reason	
aṅgajāta	neuter	the male or female genitals	aṅga+jāta
aṅgaṇa	neuter	a place to walk in; open space, a court; a clearing	
aṅgaṇa	neuter	a speck of dirt; a blemish; a moral blemish, defilements	
aṅgamaṅgāni	neuter plural	limb by limb; all the limbs	aṅga
aṅgapaccaṅga	neuter & adjective; aṅga+pati+aṅga	one limb or another; one limb after another; all the limbs or parts	aṅga
aṅgarāga	masculine	unguents or cosmetics for the body	aṅga
aṅgavata	masculine	rheumatism	aṅga
aṅgavijjā	feminine	the art of prognosticating from parts of, or marks on, the body	aṅga
aṅgāra	masculine, neuter	charcoal; heated charcoal; embers	
aṅgārakaṭāha	neuter	a pot or pan for burning charcoal; a fire-pan; a brazier	aṅgāra
aṅgārakāsu	feminine; aṅgāra+kāsu	a charcoal pit (with burning coal)	aṅgāra
aṅgārī	adjective	covered in crimson	
aṅgāri	adjective	covered in crimson	
aṅgī	adjective	having limbs or parts; having a body; who has limbs	
aṅgi	adjective	having limbs or parts; having a body; who has limbs	
aṅguṭṭha	masculine	the thumb; the big toe	
aṅguṭṭhapada	neuter	a thumb-mark	anguṭṭha
aṅgula	masculine, neuter	a finger	
aṅgulī	feminine	a finger (often in plural including the thumb); (occasionally) a toe	
aṅgulīchinna	adjective	whose finger has been cut off	aṅgulī
aṅgulīpatodaka	masculine	poking with the finger; tickling	aṅgulī
aṅgulīpada	neuter	a finger-mark	aṅgulī
aṅgulimuddikā	feminine; aṅguli+mudda+ikā	a signet ring	aṅgulī
acakkhuka	adjective	without sight; blind; without insight, without understanding	a+cakkhu+ka
acittaka	adjective	without intention, without awareness	a+citta+ka
acīvaraka	m(fn.)	(one) who has no bhikkhu’s robes	a+cīvara+ka
acc	prefix	is the usual form of the prefix ati- before vowels other than ī. In words of more than three syllables the vowel following acc- is often strengthened	
accagamā	aorist 3 singular	overcame	ati+gacchati
accaguṃ	aorist 3 singular	surpassed, overcame	ati+gacchati
accaṅkusa	adjective	beyond the control of the goad	ati+aṅkusa
accanta	adjective	beyond the (usual) end or limit; excessive, very great; perpetual; absolute, complete; most commonly accantaṁ, adverb, excessively, exceedingly; perpetually. absolutely, completely	ati+anta
accantadussīlya	neuter	extremely bad conduct	accanta
accantaniṭṭha	adjective	of absolute, constant perfection or firmness	accanta
accantapariyosāna	adjective	having an absolute, constant ideal	accanta
accantabrahmacārī	adjective	living the holy or celibate life absolutely, constantly	accanta
accantabrahmacāri	adjective	living the holy or celibate life absolutely, constantly	accanta
accantayogakkhemī	adjective	having absolute, constant peace from exertion	accanta
accantayogakkhemi	adjective	having absolute, constant peace from exertion	accanta
accantaruci	adjective	having superior splendor, surpassing in splendor	accanta
accaya	m; ati+eti	after the lapse (of) at the end (of), after	
accaya	m; ati+eti	after the death (of)	
accaya	m; ati+eti	going beyond (the norm); transgression; offense	
accasarā	2 sg	give offense	ati+sarati
accasarī	aorist 3 singular	gave offense	
accādhāya	absolutive	putting on top of; on top of	ati+ādhāya
accāyata	adjective	very much stretc.hed or extended; over-strung (opposite to atisithila); high, sharp	ati+āyati
accāyika	adjective; ati+eti+ika	urgent; pressing	acceka
accāraddha	adjective	undertaken or practiced excessively	
accāraddhaviriya	neuter & adjective	(neuter) to great exertion	accāraddha
accāraddhaviriya	neuter & adjective	(adjective) exerting oneself too much	accāraddha
accāvadati	present 3 singular	speaks or addresses in an excessive or improper way; (tries to) surpass in speaking	ati+vadati
accāsanna	adjective	very near; too near; very close	ati+āsanna
accāsanne	loc. adverb	very near; too close	accāsanna
acchibaddha	adjective	laid out in squares or laid out in strips	acci+baddha
accī	feminine	a ray of light; a flame	
accīmat	adjective	flaming, glowing; brilliant	
accīma	adjective	flaming, glowing; brilliant	
accukkaṭṭha	adjective	(a robe) pulled up too high	ati+ukkaṭṭha
accuggata	adjective	risen out (of); raised high; high, tall; lofty; haughty	ati+uggata
accuggamamma	indeclinable	rising out (of); being raised above	ati+uggacchati
accuṇha	adjective & neuter; ati+uṇha	(adjective) very hot: too hot	
accuṇha	adjective & neuter; ati+uṇha	(neuter) excessive heat	
accussanna	adjective	too thick; in lumps	ati+ussanna
acceka	adjective	urgent, pressing; irregular	
accekacīvara	neuter	a robe or material for a robe given not at the usual time (because of pressing reasons of the giver)	acceka
accayati	present 3 singular	passes (of time), elapses; passes by, eludes; passes by, neglects	acceti
accayati	present 3 singular	goes beyond; oversteps; overcomes; becomes free of	acceti
accokkaṭṭha	adjective	(of a robe) pulled down too far	ati+o+kasati
accogāḷha	adjective	too extravagant	ati+ogāḷha
accodāta	adjective	too white, too pale	ati+odāta
accha	adjective	clear; pure, clean; pellucid; transparent	
accha	adjective	a bear	
acchakañjīka	feminine	rice gruel	accha
accheti	present 3 singular	is; sits; remains, stays; continues (doing something); sits idle, sits doing nothing; (often used as an auxiliary with part, or absolutive)	acchati
acchanna	past participle adjective	clothed (with); covered	acchādeti
acchara	neuter	a wonderful thing, a marvel; amazement	acchera
accharā	feminine	a celestial nymph, a female divinity	
accharāsaṅghāta	masculine	a finger-snap; a moment	accharā+saṅghāta
accharikā	feminine	snapping of the fingers	
acchariya	adjective & neuter (masculine)	(adjective) wonderful, surprising, strange, marvelous; unusual, exceptional, of rare occurrence	
acchariya	adjective & neuter (masculine)	(nominative (and masculine)) a wonderful thing; a marvel	
acchariyaṃ	indeclinable	is used often as an exclamation (frequently combined with abbhutaṁ) how wonderful! what a wonderful thing! it’s a marvel!	acchiraya
acchariyamanussa	masculine	a wonderful exceptional man	acchariya
acchādana	neuter (adjective?)	covering, clothing, cloth; protection	
acchādāpetvā	cause. absolutive	causing to put on; presenting; clothing (with)	acchādeti
acchādita	past participle adjective	clothed (with)	acchādeti
acchādayati	present 3 singular	covers; clothes or presents with (clothes, instrumental); puts on (clothes, accusative)	acchādeti
acchindati	present 3 singular	tears off; removes, removes forcibly; tears away from; robs (someone, accusative or genitive); plunders; deprives (of)	acchindati
acchinna	past participle adjective	removed forcibly, taken away; plundered	acchindati
acchinna	past participle adjective	robbed	acchindati
acchinnacīvara	adjective	whose robe has been taken away or stolen	acchinna
acchinnacīvaraka	adjective (f. ~-cīvarika)	whose robe has been taken away or stolen	acchinnacīvara
acchupeti	present 3 singular	inserts; puts on or in	
acchodaka	adjective; accha+udaka	having clear water; clear water	accha
acchodi	adjective	having clear water	accha
acchodika	adjective; accha+udika	having clear water	accha
aja	masculine	a goat; (masculine) a male goat, a billy-goat	ajā
ajaka	masculine (& ~ā feminine?)	a young goat	
ajaddhuka	neuter or ~ā feminine	abstinence (from eating)	
ajaddhumārikā	feminine	death by starvation	a+jaddhu+māri+kā
ajapada	adjective	“goat-footed” cloven like a goat’s hoof	aja
ajapālaka	masculine feminine; aja+pāla+ka	a goatherd	aja
ajalakkhaṇa	neuter	signs of health or omen on a goat	aja
ajavisāṇavaddhikā	adjective (feminine)	with points like goats’ horns	aja
ajā	feminine	a female goat	aja
ajikā	feminine	(and ajiyā?) a young she-goat	aja+ikā
ajikākhīra	neuter	goat’s milk	ajikā
ajikakkhāyita	adjective	chewed by goats	ajikā
ajina	neuter	the hairy skin of an animal; especially the skin of the black antelope (worn as a garment and used as a covering by ascetics)	
ajinakkhipa	masculine or neuter; ajina+khipa	a cloak of antelope skin	ajina
ajinappaveṇī	feminine; ajina+paveṇī	a covering or rug made from pieces of antelope skin sewn together	ajina
ajinasāṭī	feminine; ajina+sāṭī	a garment made of skins	ajina
ajeḷakā	neuter	goats and sheep; (perhaps two kinds of goats?)	aja
ajja	indeclinable	today; now; just now; at the present time	
ajjuka	masculine, neuter	name of a plant, perhaps white basil	
ajjatagge	indeclinable	henceforth; from this day forth	['ajja', 'agga']
ajjatana	adjective & masculine	(adjective) referring or belonging to today; modern; present	ajja
ajjatana	adjective & masculine	(masculine) the period of the current day; this day, today	ajja
ajjatā	feminine	the present time	ajja
ajjadagge	indeclinable	from this day onward	['ajja', 'agga']
ājjava	masculine, neuter	uprightness; straightness	uju
ajjasaṭṭhim	indeclinable	since six days ago, for six days	ajja
ajjuṇho	indeclinable	this day; the rest of this day and night	ajja+aṇha
